open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,1963.48,1968.60,1963.15,1966.39,17814.756,1772323499999,35018722.24533,30976,9059.778,17810769.44739,0
1772323500000,1966.39,1966.40,1958.45,1959.51,11522.004,1772323799999,22603455.03689,22003,4719.420,9258198.86916,0
1772323800000,1959.51,1961.37,1959.07,1961.34,6285.187,1772324099999,12321257.90648,14264,2632.323,5160805.03032,0
1772324100000,1961.34,1963.00,1959.09,1959.80,5596.729,1772324399999,10978418.53308,13379,2139.684,4197713.95921,0
1772324400000,1959.81,1963.85,1959.61,1961.07,3624.016,1772324699999,7107114.16702,11572,1559.637,3058731.24038,0
1772324700000,1961.07,1961.57,1956.68,1957.57,11578.147,1772324999999,22673884.65339,17561,5949.778,11651650.33705,0
1772325000000,1957.58,1960.66,1956.12,1957.19,7836.539,1772325299999,15344972.61009,15214,3217.147,6299473.21398,0
1772325300000,1957.19,1960.00,1957.19,1957.68,5913.448,1772325599999,11582875.01880,13798,2279.784,4465365.98806,0
1772325600000,1957.68,1959.15,1953.47,1955.36,17834.878,1772325899999,34874356.90913,25525,7583.688,14828569.72161,0
1772325900000,1955.36,1957.82,1954.71,1955.98,7708.478,1772326199999,15079711.88229,16341,3245.173,6348639.95885,0
1772326200000,1955.98,1963.28,1955.90,1962.81,11274.111,1772326499999,22093973.07836,18560,6900.104,13522845.85493,0
1772326500000,1962.81,1964.12,1961.35,1961.67,8102.660,1772326799999,15902450.14444,13883,3393.685,6660445.52999,0
1772326800000,1961.66,1961.93,1954.63,1954.63,11243.716,1772327099999,22021612.98317,20639,5010.840,9813714.05976,0
1772327100000,1954.63,1959.25,1952.80,1953.15,10063.403,1772327399999,19680641.62048,20526,3683.657,7204908.06282,0
1772327400000,1953.16,1956.23,1944.77,1948.02,44355.002,1772327699999,86413872.92736,54088,16744.268,32626309.36597,0
1772327700000,1948.03,1948.46,1942.42,1947.34,30051.826,1772327999999,58477169.62548,45197,13499.824,26268535.40870,0
1772328000000,1947.34,1957.70,1947.33,1955.92,21131.242,1772328299999,41257239.93650,37274,12714.689,24826932.93014,0
1772328300000,1955.91,1956.58,1952.01,1952.88,7047.069,1772328599999,13771883.53533,16096,3079.855,6018816.66545,0
1772328600000,1952.88,1961.42,1951.05,1959.78,15826.548,1772328899999,30963766.48563,31467,11567.735,22632607.92827,0
1772328900000,1959.77,1973.61,1959.68,1968.86,38396.048,1772329199999,75542460.64565,59190,23186.439,45611275.68312,0
1772329200000,1968.86,1972.00,1965.71,1966.09,16522.363,1772329499999,32528258.26212,28360,7196.034,14168198.69079,0
1772329500000,1966.08,1989.54,1966.08,1988.72,88008.483,1772329799999,174259156.63459,105513,49492.366,97992645.05933,0
1772329800000,1988.73,2023.54,1988.02,2005.12,216081.384,1772330099999,433457100.61320,211235,141541.030,283975952.99394,0
1772330100000,2005.12,2012.43,1998.96,2011.62,64464.881,1772330399999,129241310.12202,82492,38449.562,77108549.46370,0
1772330400000,2011.62,2049.14,2007.52,2042.15,202334.973,1772330699999,411119568.65509,273164,130976.029,266158712.33406,0
1772330700000,2042.14,2052.64,2031.74,2035.73,103787.066,1772330999999,212039293.19876,171728,56210.954,114879388.84128,0
1772331000000,2035.73,2049.13,2032.84,2046.55,60737.749,1772331299999,124082749.57364,104383,38916.194,79514004.37443,0
1772331300000,2046.53,2054.67,2037.80,2040.95,55108.837,1772331599999,112682290.32309,100684,29977.618,61292968.71186,0
1772331600000,2040.95,2042.45,2026.66,2028.82,68399.595,1772331899999,139074166.47057,86935,25448.579,51734049.13563,0
1772331900000,2028.83,2035.65,2028.81,2031.59,33107.428,1772332199999,67265360.83538,57619,15834.447,32175912.80286,0
1772332200000,2031.58,2036.25,2026.56,2035.13,25836.882,1772332499999,52479563.80334,56058,14199.990,28850445.03201,0
1772332500000,2035.13,2040.52,2033.33,2034.83,21826.736,1772332799999,44458661.90114,50730,12947.513,26377131.51466,0
1772332800000,2034.83,2044.48,2032.90,2042.35,27193.697,1772333099999,55471256.26627,57485,16868.130,34416177.59830,0
1772333100000,2042.35,2047.92,2030.51,2035.60,44829.373,1772333399999,91411409.58285,80158,22428.603,45729058.27292,0
1772333400000,2035.60,2039.51,2033.34,2035.55,17403.557,1772333699999,35447134.06408,33046,8520.913,17355579.92692,0
1772333700000,2035.56,2036.88,2031.50,2032.18,20522.547,1772333999999,41740978.28777,33187,6686.390,13598521.76912,0
1772334000000,2032.17,2036.72,2031.98,2035.82,27505.787,1772334299999,55961648.72113,29936,17586.279,35778129.92382,0
1772334300000,2035.82,2037.63,2033.01,2036.58,9334.533,1772334599999,18997661.39060,24037,4462.636,9082845.76874,0
1772334600000,2036.59,2038.57,2033.50,2033.98,10515.435,1772334899999,21410981.72358,23475,5127.774,10441256.39652,0
1772334900000,2033.98,2035.67,2030.59,2032.61,10558.644,1772335199999,21463976.46958,24070,4176.906,8492039.95342,0
1772335200000,2032.61,2034.19,2024.69,2025.81,27368.648,1772335499999,55508974.23629,45150,9949.232,20178511.13790,0
1772335500000,2025.82,2034.85,2024.85,2033.49,16882.244,1772335799999,34275700.55533,33191,8121.953,16492063.56849,0
1772335800000,2033.48,2033.49,2028.35,2031.85,12506.861,1772336099999,25397188.30995,25974,6106.744,12400929.64034,0
1772336100000,2031.86,2034.00,2030.35,2030.80,6410.922,1772336399999,13026776.52749,17789,2882.227,5856894.05114,0
1772336400000,2030.81,2032.48,2029.89,2031.98,7025.680,1772336699999,14270210.67171,14235,4194.004,8518477.88531,0
1772336700000,2031.98,2033.97,2027.50,2029.74,15820.363,1772336999999,32115695.82632,22049,5379.409,10920860.99498,0
1772337000000,2029.74,2029.74,2018.19,2018.99,44404.664,1772337299999,89838222.70047,43047,14470.625,29279467.93024,0
1772337300000,2019.00,2022.57,2015.18,2022.29,31200.538,1772337599999,63014835.06073,40069,15993.992,32306516.21735,0
1772337600000,2022.29,2029.63,2022.29,2025.79,19937.270,1772337899999,40399835.12059,31552,12458.941,25243927.89233,0
1772337900000,2025.79,2026.39,2018.00,2018.62,18638.234,1772338199999,37661899.56658,25823,6367.214,12865705.06711,0
1772338200000,2018.61,2019.99,2009.45,2012.40,31845.657,1772338499999,64175884.77820,31919,8581.816,17299267.80427,0
1772338500000,2012.40,2015.11,1997.11,2003.83,131398.555,1772338799999,263285193.18401,105155,57879.661,115938397.46207,0
1772338800000,2003.84,2010.79,2002.12,2008.84,24757.888,1772339099999,49654365.56402,40719,14081.369,28246492.11129,0
1772339100000,2008.84,2012.68,2006.51,2011.05,17864.122,1772339399999,35909899.72734,28757,9912.962,19928517.04038,0
1772339400000,2011.05,2014.53,2008.40,2012.82,13454.302,1772339699999,27060249.14688,26257,6747.182,13572352.35047,0
1772339700000,2012.82,2019.87,2012.17,2012.26,23095.138,1772339999999,46547997.31974,36802,12664.685,25528437.50029,0
1772340000000,2012.26,2016.00,2011.84,2014.54,6506.335,1772340299999,13106685.61162,14524,3560.678,7173044.86654,0
1772340300000,2014.53,2017.19,2014.00,2015.22,6803.292,1772340599999,13713101.93473,14981,3550.314,7156565.37177,0
1772340600000,2015.23,2017.49,2013.23,2015.12,5775.499,1772340899999,11639800.95379,14191,3054.652,6156459.52628,0
1772340900000,2015.12,2015.98,2012.56,2014.86,5395.533,1772341199999,10868046.10025,11818,1958.295,3944661.54470,0
1772341200000,2014.86,2018.16,2014.66,2015.21,8994.129,1772341499999,18134515.29271,19353,5675.178,11443124.16981,0
1772341500000,2015.20,2015.79,2008.13,2015.36,19168.214,1772341799999,38572464.77426,27375,7336.578,14767156.30906,0
1772341800000,2015.35,2018.61,2012.02,2012.28,10736.872,1772342099999,21648467.40718,22003,5063.831,10211887.21591,0
1772342100000,2012.29,2015.55,2012.25,2015.08,4732.107,1772342399999,9530253.67605,12360,2837.232,5713933.03473,0
